Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Priority,Status,Acquisition_Notes,Link,Search_Query
1,Classic Banking Histories,Pre-1950,Knox,John Jay,A History of Banking in the United States (4 vols),1900,,BOOK,CRITICAL,DOWNLOADED,Check HathiTrust/Internet Archive for digitized volumes; Downloaded 2026-02-26,https://archive.org/search?query=knox+history+banking+united+states,Knox A History of Banking in the United States
2,Classic Banking Histories,Pre-1950,Redlich,Fritz,"The Molding of American Banking: Men and Ideas, 1781-1910 (2 vols)",1947-51,Hafner,BOOK,CRITICAL,NEEDED,Out of print; check university libraries or used book dealers,https://scholar.google.com/scholar?q=Redlich+The+Molding+of+American+Banking%3A+Men+and+Ideas%2C+1781-1910,"Redlich The Molding of American Banking: Men and Ideas, 1781-1910"
3,Classic Banking Histories,Pre-1950,Bolles,Albert Sidney,"The Financial History of the United States (3 vols: 1774-1789, 1789-1860, 1861-1885)",1886-92,Appleton,BOOK,CRITICAL,DOWNLOADED,Public domain; check Internet Archive/Google Books; Downloaded 2026-02-26,https://archive.org/search?query=bolles+financial+history+united+states,Bolles The Financial History of the United States
4,Classic Banking Histories,Pre-1950,Dewey,Davis Rich,Financial History of the United States (12th ed),1934,Longmans Green,BOOK,CRITICAL,DOWNLOADED,Multiple editions available on Internet Archive; Downloaded 2026-02-26,https://archive.org/search?query=dewey+financial+history+united+states,Dewey Financial History of the United States
5,Classic Banking Histories,Pre-1950,Sumner,William Graham,"A History of Banking in All the Leading Nations, Vol 1: United States",1896,Journal of Commerce and Commercial Bulletin,BOOK,CRITICAL,DOWNLOADED,Public domain; HathiTrust likely has digitized copy; Downloaded 2026-02-26,https://catalog.hathitrust.org/,"Sumner A History of Banking in All the Leading Nations, Vol 1: United States"
6,Classic Banking Histories,Pre-1950,Holdsworth,John Thom,The First and Second Banks of the United States,1910,National Monetary Commission,BOOK,HIGH,NEEDED,Part of National Monetary Commission series; FRASER likely has it,https://fraser.stlouisfed.org/,Holdsworth The First and Second Banks of the United States
7,Classic Banking Histories,Post-1950,Studenski,Paul,Financial History of the United States,1952,McGraw-Hill,BOOK,HIGH,NEEDED,Out of print; check university libraries,https://scholar.google.com/scholar?q=Studenski+Financial+History+of+the+United+States,Studenski Financial History of the United States
8,Classic Banking Histories,Post-1950,Myers,Margaret,A Financial History of the United States,1970,Columbia UP,BOOK,HIGH,NEEDED,University library or used book dealers,https://scholar.google.com/scholar?q=Myers+A+Financial+History+of+the+United+States,Myers A Financial History of the United States
9,Classic Banking Histories,Post-1950,Rothbard,Murray,A History of Money and Banking in the United States,2002,Mises Institute,BOOK,MEDIUM,NEEDED,Free PDF available from Mises Institute,https://mises.org/library/history-money-and-banking-united-states-colonial-era-world-war-ii,Rothbard A History of Money and Banking in the United States
10,Classic Banking Histories,Post-1950,Timberlake,Richard,Monetary Policy in the United States: An Intellectual and Institutional History,1993,University of Chicago Press,BOOK,MEDIUM,NEEDED,Check university library or Amazon,https://scholar.google.com/scholar?q=Timberlake+Monetary+Policy+in+the+United+States%3A+An+Intellectual+and+Institutional+History,Timberlake Monetary Policy in the United States: An Intellectual and Institutional History
11,Classic Banking Histories,Pre-1950,Smith,Walter Buckingham,Economic Aspects of the Second Bank of the United States,1953,Harvard UP,BOOK,MEDIUM,NEEDED,Out of print; interlibrary loan,https://scholar.google.com/scholar?q=Smith+Economic+Aspects+of+the+Second+Bank+of+the+United+States,Smith Economic Aspects of the Second Bank of the United States
12,Classic Banking Histories,Pre-1950,Catterall,Ralph,The Second Bank of the United States,1903,University of Chicago Press,BOOK,MEDIUM,DOWNLOADED,Public domain; Internet Archive; Downloaded 2026-02-26,https://archive.org/search?query=catterall+second+bank+united+states,Catterall The Second Bank of the United States
13,Classic Banking Histories,Pre-1950,Helderman,Leonard,National and State Banks: A Study of Their Origins,1931,,BOOK,LOW,NEEDED,Rare; interlibrary loan only,https://scholar.google.com/scholar?q=Helderman+National+and+State+Banks%3A+A+Study+of+Their+Origins,Helderman National and State Banks: A Study of Their Origins
14,Classic Banking Histories,Pre-1950,White,Horace,Money and Banking (5th ed),1911,Ginn,BOOK,LOW,DOWNLOADED,Public domain; Internet Archive; Downloaded 2026-02-26,https://archive.org/search?query=horace+white+money+banking,White Money and Banking
15,Regulatory Agency Histories,OCC,Robertson,Ross M.,The Comptroller and Bank Supervision: A Historical Appraisal,1968/1995,OCC,BOOK,CRITICAL,NEEDED,Check OCC publications archive or FRASER,https://www.occ.treas.gov/publications-and-resources/,Robertson The Comptroller and Bank Supervision: A Historical Appraisal
16,Regulatory Agency Histories,OCC,White,Eugene N.,"The Comptroller and the Transformation of American Banking, 1960-1990",1992,OCC,BOOK,CRITICAL,NEEDED,OCC commissioned history; check OCC website or FRASER,https://fraser.stlouisfed.org/,"White The Comptroller and the Transformation of American Banking, 1960-1990"
17,Regulatory Agency Histories,FDIC,FDIC,,History of the Eighties: Lessons for the Future (2 vols),1997,FDIC,REPORT,CRITICAL,DOWNLOADED,Free PDF from FDIC website; Downloaded 2026-02-26,https://www.fdic.gov/bank/historical/history/,FDIC History of the Eighties: Lessons for the Future
18,Regulatory Agency Histories,FDIC,FDIC,,"Crisis and Response: An FDIC History, 2008-2013",2017,FDIC,REPORT,CRITICAL,DOWNLOADED,Free PDF from FDIC website; Downloaded 2026-02-26,https://www.fdic.gov/bank/historical/crisis/,"FDIC Crisis and Response: An FDIC History, 2008-2013"
19,Regulatory Agency Histories,FDIC,FDIC,,Managing the Crisis: The FDIC and RTC Experience (2 vols),1998,FDIC,REPORT,HIGH,NEEDED,Free PDF from FDIC website,https://www.fdic.gov/bank/historical/managing/,FDIC Managing the Crisis: The FDIC and RTC Experience
20,Regulatory Agency Histories,FDIC,FDIC,,"The First Fifty Years: A History of the FDIC, 1933-1983",1984,FDIC,REPORT,HIGH,NEEDED,Free PDF from FDIC website,https://www.fdic.gov/bank/historical/firstfifty/,"FDIC The First Fifty Years: A History of the FDIC, 1933-1983"
21,Regulatory Agency Histories,BIS,Goodhart,Charles,"The Basel Committee on Banking Supervision: A History of the Early Years, 1974-1997",2011,Cambridge UP,BOOK,HIGH,NEEDED,Cambridge UP or university library,https://www.cambridge.org/,"Goodhart The Basel Committee on Banking Supervision: A History of the Early Years,"
22,Regulatory Agency Histories,Fed,Meltzer,Allan,"A History of the Federal Reserve, Vol 1 (1913-1951)",2003,University of Chicago Press,BOOK,HIGH,NEEDED,University of Chicago Press,https://press.uchicago.edu/,"Meltzer A History of the Federal Reserve, Vol 1"
23,Regulatory Agency Histories,Fed,Meltzer,Allan,"A History of the Federal Reserve, Vol 2 (1951-1986, 2 books)",2009-10,University of Chicago Press,BOOK,HIGH,NEEDED,University of Chicago Press,https://press.uchicago.edu/,"Meltzer A History of the Federal Reserve, Vol 2"
24,Regulatory Agency Histories,Fed,Silber,William,Banking Research: The Triumph of Persistence,2012,Bloomsbury,BOOK,HIGH,NEEDED,Amazon or university library,https://scholar.google.com/scholar?q=Silber+Banking Research%3A+The+Triumph+of+Persistence,Silber Banking Research: The Triumph of Persistence
25,Regulatory Agency Histories,Fed,Conti-Brown,Peter,The Power and Independence of the Federal Reserve,2016,Princeton UP,BOOK,HIGH,NEEDED,Princeton UP,https://press.princeton.edu/,Conti-Brown The Power and Independence of the Federal Reserve
26,Regulatory Agency Histories,Fed,Federal Reserve,,Federal Reserve Board Oral History Project (complete interviews),Various,Federal Reserve,REPORT,HIGH,NEEDED,Free on Federal Reserve website; check for completeness,https://www.federalreserve.gov/aboutthefed/oral-histories.htm,Federal Reserve Federal Reserve Board Oral History Project
27,Regulatory Agency Histories,Fed,Friedman,Milton,"A Monetary History of the United States, 1867-1960",1963,Princeton UP,BOOK,HIGH,PARTIAL,Already in existing CSV as item 65 - verify edition completeness,https://press.princeton.edu/,"Friedman A Monetary History of the United States, 1867-1960"
28,Regulatory Agency Histories,Fed,Warburg,Paul,The Federal Reserve System: Its Origin and Growth (2 vols),1930,Macmillan,BOOK,MEDIUM,NEEDED,FRASER likely has digitized copy,https://fraser.stlouisfed.org/,Warburg The Federal Reserve System: Its Origin and Growth
29,Regulatory Agency Histories,Fed,Willis,H. Parker,The Federal Reserve System,1923,Ronald Press,BOOK,MEDIUM,NEEDED,FRASER or Internet Archive,https://fraser.stlouisfed.org/,Willis The Federal Reserve System
30,Regulatory Agency Histories,Fed,Hackley,Howard,Lending Functions of the Federal Reserve Banks,1973,Board of Governors,BOOK,MEDIUM,NEEDED,FRASER archive,https://fraser.stlouisfed.org/,Hackley Lending Functions of the Federal Reserve Banks
31,Memoirs and Biographies,Fed Chair,Banking Research,Paul,Keeping at It: The Quest for Sound Money and Good Government,2018,PublicAffairs,MEMOIR,CRITICAL,NEEDED,Amazon or library; essential primary source,https://scholar.google.com/scholar?q=Banking Research+Keeping+at+It%3A+The+Quest+for+Sound+Money+and+Good+Government,Banking Research Keeping at It: The Quest for Sound Money and Good Government
32,Memoirs and Biographies,Treasury/Fed,Geithner,Timothy,Stress Test: Reflections on Financial Crises,2014,Crown,MEMOIR,CRITICAL,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Geithner+Stress+Test%3A+Reflections+on+Financial+Crises,Geithner Stress Test: Reflections on Financial Crises
33,Memoirs and Biographies,Fed Chair,Bernanke,Ben,The Courage to Act,2015,Norton,MEMOIR,CRITICAL,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Bernanke+The+Courage+to+Act,Bernanke The Courage to Act
34,Memoirs and Biographies,Fed Chair,Bernanke,Ben,The Federal Reserve and the Financial Crisis,2013,Princeton UP,BOOK,CRITICAL,NEEDED,Based on 2012 George Washington University lectures,https://press.princeton.edu/,Bernanke The Federal Reserve and the Financial Crisis
35,Memoirs and Biographies,Crisis Principals,Bernanke,Ben,Firefighting: The Financial Crisis and Its Lessons,2019,Penguin,MEMOIR,CRITICAL,NEEDED,Co-authored with Geithner and Paulson,https://scholar.google.com/scholar?q=Bernanke+Firefighting%3A+The+Financial+Crisis+and+Its+Lessons,Bernanke Firefighting: The Financial Crisis and Its Lessons
36,Memoirs and Biographies,Treasury,Paulson,Henry,On the Brink: Inside the Race to Stop the Collapse,2010,Business Plus,MEMOIR,CRITICAL,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Paulson+On+the+Brink%3A+Inside+the+Race+to+Stop+the+Collapse,Paulson On the Brink: Inside the Race to Stop the Collapse
37,Memoirs and Biographies,Fed Chair,Greenspan,Alan,The Age of Turbulence: Adventures in a New World,2007,Penguin,MEMOIR,HIGH,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Greenspan+The+Age+of+Turbulence%3A+Adventures+in+a+New+World,Greenspan The Age of Turbulence: Adventures in a New World
38,Memoirs and Biographies,Bank CEO,Blankfein,Lloyd,Streetwise,2025,Penguin Press,MEMOIR,HIGH,NEEDED,Recently published; Amazon,https://scholar.google.com/scholar?q=Blankfein+Streetwise,Blankfein Streetwise
